# NEST version: master@c4a0daab5
# RecordingBackendASCII version: 2
sender	time_ms
5	14.600
7	14.900
9	14.600
11	14.200
16	14.900
27	13.900
32	13.800
48	14.100
50	15.000
1	16.300
2	16.100
3	15.500
6	16.000
10	16.100
13	15.500
14	16.400
15	16.200
23	16.200
30	15.700
33	15.400
34	16.200
35	16.000
44	15.800
46	15.700
47	15.600
19	16.700
12	19.300
18	22.600
28	23.200
41	22.600
4	24.800
8	25.400
26	24.700
40	29.700
20	30.400
25	30.900
21	32.500
22	31.700
31	32.800
38	32.200
36	34.400
39	34.400
42	33.400
49	33.900
43	37.200
10	38.300
24	39.100
44	42.300
3	44.200
9	44.900
27	43.700
33	44.700
37	43.700
45	45.000
11	46.200
29	45.500
32	45.100
17	47.100
16	49.400
30	49.300
34	48.300
48	49.400
1	50.400
13	51.000
15	49.900
46	50.300
20	52.700
28	52.800
35	52.700
7	54.800
12	54.400
23	54.100
50	54.900
6	56.200
2	57.400
18	57.700
19	57.200
22	57.500
42	57.800
47	58.400
8	59.800
25	58.600
41	59.600
26	60.700
21	65.300
31	65.800
49	65.500
10	67.500
40	66.800
14	68.800
24	68.400
36	68.700
4	69.100
5	69.800
38	69.500
3	73.600
9	74.300
37	75.900
39	78.900
27	79.700
28	81.000
32	80.600
33	79.800
43	79.900
6	81.600
17	82.300
25	82.100
45	82.000
13	82.900
15	85.500
47	85.000
1	86.700
19	86.000
30	86.900
2	87.700
8	88.500
21	87.600
34	87.200
11	88.700
20	88.800
29	89.500
35	89.700
46	90.000
23	90.500
41	90.200
44	90.300
50	91.400
12	92.400
18	92.600
42	92.700
26	93.500
3	97.100
16	97.300
22	98.000
14	100.300
48	99.200
49	99.300
38	101.000
40	102.000
7	102.900
10	102.400
24	103.700
36	105.400
5	107.900
17	108.400
32	108.100
19	110.100
37	110.600
4	115.100
9	115.100
33	114.200
6	115.700
13	115.700
21	115.800
31	115.900
45	116.500
29	117.200
2	119.300
27	119.600
39	119.000
42	119.900
43	118.600
47	119.900
15	121.000
28	121.500
34	120.300
50	121.200
30	121.700
41	123.600
1	125.800
35	125.600
18	126.300
22	126.700
26	126.900
8	127.900
11	128.200
20	128.800
23	127.700
44	129.800
46	130.500
12	132.500
16	133.200
25	132.800
3	134.300
7	134.100
24	134.000
32	136.400
38	135.900
48	135.200
49	135.900
40	136.800
10	138.100
17	139.200
21	140.200
5	141.700
9	141.700
36	143.300
37	143.000
13	145.200
14	145.400
45	147.000
4	148.600
31	148.600
35	148.800
39	149.600
41	150.000
29	151.500
33	152.800
34	152.700
19	153.500
30	154.300
7	155.800
