# NEST version: master@c4a0daab5
# RecordingBackendASCII version: 2
sender	time_ms
10008	13.400
10012	14.600
10030	14.800
10032	15.000
10001	16.200
10006	15.100
10009	15.400
10016	16.500
10019	15.100
10026	15.500
10034	15.500
10036	15.700
10037	16.200
10040	16.000
10042	15.600
10043	16.300
10045	15.600
10047	15.500
10050	15.900
10041	23.400
10033	24.200
10038	24.200
10039	26.200
10003	27.800
10004	27.400
10013	28.100
10014	27.400
10028	27.700
10007	29.500
10021	29.700
10023	30.000
10044	29.400
10024	30.900
10025	31.000
10035	31.100
10010	33.300
10015	35.300
10002	37.100
10011	36.800
10017	37.200
10047	37.200
10049	36.600
10027	37.600
10029	37.800
10032	37.700
10048	38.500
10050	38.400
10012	40.000
10005	41.200
10031	41.500
10026	43.100
10008	43.800
10016	43.900
10018	43.900
10030	44.800
10043	44.100
10045	43.800
10022	45.700
10033	46.300
10001	46.800
10020	47.600
10019	48.700
10028	49.200
10037	48.200
10046	48.100
10042	49.600
10009	52.100
10004	53.100
10025	54.100
10003	55.900
10006	57.500
10039	58.400
10024	59.600
10041	59.100
10050	59.800
10013	60.600
10044	60.500
10036	63.000
10007	63.900
10035	63.600
10014	66.000
10034	64.800
10021	67.400
10023	67.400
10038	66.100
10040	67.400
10047	66.100
10011	68.000
10015	68.600
10029	68.400
10010	70.300
10018	69.300
10031	69.600
10002	71.200
10049	70.800
10017	73.900
10027	74.500
10045	74.800
10016	75.300
10046	76.100
10048	75.400
10009	77.900
10008	78.600
10033	78.300
10005	80.200
10030	80.000
10012	81.800
10022	81.400
10028	82.000
10032	82.300
10037	82.100
10020	82.700
10026	82.600
10042	85.400
10006	86.800
10024	86.900
10025	86.000
10013	87.500
10018	87.400
10004	90.300
10039	90.600
10044	91.100
10003	92.800
10036	92.300
10043	91.600
10050	94.500
10007	96.600
10023	96.900
10011	98.000
10014	97.900
10035	97.600
10001	101.900
10031	100.900
10034	101.200
10038	100.600
10002	103.200
10021	102.200
10029	102.900
10040	102.200
10005	104.800
10016	105.000
10041	103.700
10048	104.700
10009	105.500
10019	105.400
10045	105.500
10010	107.100
10020	107.400
10047	106.900
10049	107.300
10017	109.300
10027	108.300
10026	109.800
10008	112.100
10015	111.700
10025	113.200
10033	114.500
10012	116.300
10003	118.300
10018	117.400
10024	118.200
10028	118.300
10030	117.200
10037	118.200
10042	119.200
10006	122.700
10046	122.600
10022	123.400
10039	123.100
10050	123.700
10004	125.300
10044	125.200
10011	126.900
10027	126.300
10032	127.300
10023	128.900
10029	128.500
10005	130.100
10010	129.800
10013	130.100
10014	129.500
10036	129.600
10040	129.900
10043	129.100
10007	131.800
10048	133.000
10021	136.200
10035	135.900
10038	135.800
10001	136.700
10020	136.900
10033	137.500
10017	140.700
10015	142.400
10047	142.000
10009	143.700
10016	143.400
10026	143.800
10049	144.200
10002	145.800
10041	146.400
10018	148.400
10019	147.500
10025	147.500
10003	151.000
10034	150.600
10037	151.200
10045	151.400
10024	153.500
10039	153.600
10008	154.800
10042	155.800
10046	155.100
10006	156.700
10028	156.600
10031	156.500
10029	157.700
10030	158.000
10004	159.700
10012	159.700
10022	159.600
10050	160.100
10005	160.700
10014	160.600
10023	161.800
10044	161.900
10047	161.300
10010	162.200
10013	162.600
10032	163.400
10035	162.400
